trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-232.78524596306727,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,0,-171.79297211804135,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",25,0,-59.47214819518499,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",20,0,-84.6087057056986,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",25,0,-168.0067181693853,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",30,0,-153.99823751907698,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",25,0,-108.03582335854819,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",30,13,-62.82759292579683,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",20,2,-125.84227138245802,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,8,-113.51478468362458,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-86.46787097595218,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-91.08223852089452,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-183.52053849756214,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-122.2203916851491,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,2,-61.28559429890963,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
