trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,5,-57.61281260214575,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.93094099687856,"{0: 15, 1: 0, 2: 6, 3: 4, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.33264264873182,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.23348219648095,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.83639050991343,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-180.0210621674529,"{0: 18, 1: 5, 2: 9, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.69031178919224,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.73494784853108,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.25785236895268,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.06090530067422,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.69097200618748,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.77076303933306,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.5997904655935,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.10289912222946,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.07163941089843,"{0: 6, 1: 4, 2: 7, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,7,-146.49332774903405,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.63308437218453,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.71509859870118,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-176.66846535318794,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.83158673116915,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.5890605103629,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
